id,company_id,mine_id,mineral_type,calorific_value,mining_operation_status,mining_permit,area,year_measured,production_volume,sales_volume,overburden_removal_volume,strip_ratio,year_measured,resources_inferred,resources_indicated,resources_measured,reserves_proved,reserves_probable,mineral_sub_type,area_geometry,coal_spec_links
49,99,,Coal,,development,PKP2B,36490,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,https://adaroindonesia.com/pages/view/pertambangan.html
50,100,,Coal,,inactive,IUP,11130,,,,,,,,,,,,,,
51,101,,Coal,,inactive,IUP,34000,,,,,,,,,,,,,,
,102,36,Coal,,production,,4395,,,,,,,,,,,,Bituminous: Thermal Coal,,https://www.atlas-coal.co.id/page/products
,103,36,Coal,,development,,1278,,,,,,,,,,,,Bituminous: Thermal Coal,,https://www.atlas-coal.co.id/page/products
,104,36,Coal,,development,,20000,,,,,,,,,,,,Bituminous: Thermal Coal,,https://www.atlas-coal.co.id/page/products
,105,36,Coal,,development,,4988,,,,,,,,,,,,Bituminous: Thermal Coal,,https://www.atlas-coal.co.id/page/products
,106,37,Coal,,production,,932.8,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,107,37,Coal,,production,,1389,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,108,38,Coal,,production,,4864,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,https://www.atlas-coal.co.id/page/products
,109,38,Coal,,development,,5000,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,https://www.atlas-coal.co.id/page/products
,110,38,Coal,,development,,5000,,,,,,,,,,,,"Bituminous: Metallurgical coal, thermal coal",,https://www.atlas-coal.co.id/page/products
,111,39,Coal,,production,,4000,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,111,39,Coal,,production,,14990,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,112,39,Coal,,development,,4850,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,113,40,Coal,,development,,5000,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,114,40,Coal,,development,,5010,,,,,,,,,,,,,,https://www.atlas-coal.co.id/page/products
,115,41,Coal,,development,,,,,,,,,,,,,,,,
,116,41,Coal,,development,,,,,,,,,,,,,,,,
