,name,link
193,ALFA BARA COALINDO,https://modi.esdm.go.id/portal/detailPerusahaan/20231?jp=7
194,ALFA COALINDO TRADING,https://modi.esdm.go.id/portal/detailPerusahaan/16614?jp=7
195,ALFADH PUTRA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/16016?jp=1
196,AL FADJRI,https://modi.esdm.go.id/portal/detailPerusahaan/19948?jp=1
197,ALFA ENERGI INVESTAMA TBK,https://modi.esdm.go.id/portal/detailPerusahaan/10415?jp=7
198,ALFA GRANITAMA,https://modi.esdm.go.id/portal/detailPerusahaan/10848?jp=1
199,ALFA INTI MINERAL,https://modi.esdm.go.id/portal/detailPerusahaan/13303?jp=1
200,ALFARA DELTA PERSADA,https://modi.esdm.go.id/portal/detailPerusahaan/291?jp=1
201,ALFA SILIKA BORNEO,https://modi.esdm.go.id/portal/detailPerusahaan/21766?jp=1
202,ALFA SILIKA ENERGI,https://modi.esdm.go.id/portal/detailPerusahaan/19868?jp=1
203,ALFATH KARYA MANDIRI,https://modi.esdm.go.id/portal/detailPerusahaan/15845?jp=1
204,ALFESIO SUKSES ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/19969?jp=1
205,ALFINO CAHAYA MUKTI,https://modi.esdm.go.id/portal/detailPerusahaan/14535?jp=7
206,ALGARA MANDIRI COAL,https://modi.esdm.go.id/portal/detailPerusahaan/19350?jp=7
207,ALGE SEJAHTERA ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/19119?jp=7
208,ALHASANIE,https://modi.esdm.go.id/portal/detailPerusahaan/299?jp=1
209,ALIANS LESTARI SENTOSA,https://modi.esdm.go.id/portal/detailPerusahaan/21241?jp=7
210,ALIF KAMALIA RAJA BATUBARA,https://modi.esdm.go.id/portal/detailPerusahaan/15393?jp=7
211,ALIFU TRADING INDONESIA,https://modi.esdm.go.id/portal/detailPerusahaan/19620?jp=7
212,ALIGA PAMA RAYA,https://modi.esdm.go.id/portal/detailPerusahaan/16876?jp=7
213,ALI MINING KONSTRUKSI,https://modi.esdm.go.id/portal/detailPerusahaan/21471?jp=1
214,ALINDRA,https://modi.esdm.go.id/portal/detailPerusahaan/17597?jp=7
215,ALIRAN TELATANG JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/14504?jp=1
216,ALJABRI BUANA CITRA,https://modi.esdm.go.id/portal/detailPerusahaan/310?jp=1
217,ALKA,https://modi.esdm.go.id/portal/detailPerusahaan/10979?jp=1
218,ALLIANCE INTERNATIONAL,https://modi.esdm.go.id/portal/detailPerusahaan/14829?jp=7
219,ALLIED INDO COAL JAYA,https://modi.esdm.go.id/portal/detailPerusahaan/313?jp=1
220,ALLWIN ANUGERAH ADIMAKMUR,https://modi.esdm.go.id/portal/detailPerusahaan/9907?jp=7
221,ALMHARIG,https://modi.esdm.go.id/portal/detailPerusahaan/315?jp=1
222,ALMINDO JAYA ABADI,https://modi.esdm.go.id/portal/detailPerusahaan/10095?jp=7
