nama_usaha,badan_usaha,jenis_izin,sk_iup,kode_wiup,nama_prov,nama_kab,tgl_berlaku,tgl_akhir,kegiatan,luas_sk,cnc,generasi,lokasi,komoditas_mapped,geometry
MAS PUTIH BELITUNG,PT,IUP,81201102219480006,1232156092021001,Jawa Barat,KAB. KARAWANG,2024-01-26,2044-01-26,OPERASI PRODUKSI,39.83,CNC,-,KAB. KARAWANG,Limestone,"[[[11935339.710721731, -718110.8884837582], [11935339.710721731, -718171.4135914891], [11935349.945992313, -718171.4135914891], [11935349.945992313, -718228.9513653116], [11935362.376594571, -718228.9513653116], [11935362.376594571, -718274.6953099098], [11935373.384867698, -718274.6953099098], [11935373.384867698, -718308.1786957289], [11935199.29354056, -718308.1786957289], [11935199.29354056, -718355.7898460795], [11935065.401017383, -718355.7898460795], [11935065.401017383, -718286.0846709285], [11934974.799308343, -718286.0846709285], [11934974.799308343, -718313.1575879034], [11934796.378877528, -718313.1575879034], [11934796.378877528, -718282.0392949268], [11934604.971246999, -718282.0392949268], [11934604.971246999, -717939.7381875032], [11934812.458310055, -717939.7381875032], [11934812.458310055, -717757.6971001939], [11934908.316859411, -717757.6971001939], [11934908.316859411, -717607.0858187434], [11935280.000171384, -717607.0858187434], [11935280.000171384, -718110.8884837582], [11935339.710721731, -718110.8884837582]]]"
MAS PUTIH BELITUNG,PT,IUP,81201102219480007,1232156092021002,Jawa Barat,KAB. KARAWANG,2024-01-26,2044-01-26,OPERASI PRODUKSI,44.96,CNC,-,KAB. KARAWANG,Limestone,"[[[11934888.743108066, -719381.8353975982], [11934888.743108066, -719322.647177635], [11934852.657114016, -719322.647177635], [11934852.657114016, -719245.8456324936], [11934912.367553039, -719245.8456324936], [11934912.367553039, -718646.4987936239], [11935450.721078299, -718646.4987936239], [11935450.721078299, -719064.7338900596], [11935198.39686206, -719064.7338900596], [11935198.39686206, -719708.896704317], [11935263.642440131, -719708.896704317], [11935263.642440131, -719914.9058838547], [11935190.047900252, -719914.9058838547], [11935190.047900252, -719951.3154367696], [11935118.927102098, -719951.3154367696], [11935118.927102098, -719727.8794530977], [11934865.396961816, -719727.8794530977], [11934865.396961816, -719682.0720505139], [11934876.590804532, -719682.0720505139], [11934876.590804532, -719642.1773416196], [11934892.144586429, -719642.1773416196], [11934892.144586429, -719488.1690679453], [11934884.444951203, -719488.1690679453], [11934884.444951203, -719426.8023449795], [11934870.499068039, -719426.8023449795], [11934870.499068039, -719381.8353975982], [11934888.743108066, -719381.8353975982]]]"
MAS PUTIH INDONESIA,PT,IUP,545/DPMPTSP/1582/IUP-EKS./2022,2111074402022002,Aceh,KAB. PIDIE,2022-07-19,2029-07-19,EKSPLORASI,257.0,CNC,-,KAB. PIDIE,Limestone,"[[[10670992.693501346, 609182.4458535373], [10671153.79762877, 609182.4458535373], [10671153.79762877, 608799.1266774326], [10671193.996321414, 608799.1266774326], [10671193.996321414, 608509.9303046756], [10671771.002311584, 608509.9303046756], [10671771.002311584, 608440.6599724072], [10671921.5928697, 608440.6599724072], [10671921.5928697, 608367.3516651429], [10672108.053016776, 608367.3516651429], [10672108.053016776, 608251.7979947061], [10672745.357101567, 608251.7979947061], [10672745.357101567, 608359.585890612], [10672903.368884858, 608359.585890612], [10672903.368884858, 608428.54548549], [10673022.418957688, 608428.54548549], [10673022.418957688, 608545.9632737458], [10673742.903415032, 608545.9632737458], [10673742.903415032, 608901.6348628897], [10674427.827528955, 608901.6348628897], [10674427.827528955, 608821.8027336802], [10674335.061212415, 608821.8027336802], [10674335.061212415, 608654.9942612449], [10674286.20431242, 608654.9942612449], [10674286.20431242, 608539.4400951713], [10674210.445276367, 608539.4400951713], [10674210.445276367, 608391.5807308964], [10674130.975516403, 608391.5807308964], [10674130.975516403, 608286.5883249518], [10673968.325383887, 608286.5883249518], [10673968.325383887, 608196.1955225371], [10673925.962083751, 608196.1955225371], [10673925.962083751, 607901.7211259542], [10673671.47337133, 607901.7211259542], [10673671.47337133, 607815.0564278899], [10673336.587273637, 607815.0564278899], [10673336.587273637, 607733.9831019611], [10673130.64621567, 607733.9831019611], [10673130.64621567, 607524.0005118023], [10672939.85696491, 607524.0005118023], [10672939.85696491, 607416.8351437801], [10672788.957161253, 607416.8351437801], [10672788.957161253, 607339.4897462957], [10672595.385034543, 607339.4897462957], [10672595.385034543, 607422.1157290976], [10672361.614103878, 607422.1157290976], [10672361.614103878, 607507.2267849009], [10672235.761185642, 607507.2267849009], [10672235.761185642, 607574.9430170251], [10671982.818589635, 607574.9430170251], [10671982.818589635, 607641.7273674018], [10671851.708942408, 607641.7273674018], [10671851.708942408, 607710.3755742824], [10671728.020631673, 607710.3755742824], [10671728.020631673, 607834.0045642661], [10671592.891126314, 607834.0045642661], [10671592.891126314, 608014.7892032377], [10671522.697953476, 608014.7892032377], [10671522.697953476, 608129.099968232], [10671317.375386601, 608129.099968232], [10671317.375386601, 608194.331830781], [10671112.052819721, 608194.331830781], [10671112.052819721, 608319.2042130411], [10670989.601379855, 608319.2042130411], [10670989.601379855, 608453.706422809], [10670766.034661626, 608453.706422809], [10670766.034661626, 608588.2089023425], [10670674.505327268, 608588.2089023425], [10670674.505327268, 608895.1115378713], [10670810.871703492, 608895.1115378713], [10670810.871703492, 609060.3674369047], [10670992.693501346, 609060.3674369047], [10670992.693501346, 609182.4458535373]]]"
MAS SARI,PT,IUP,276/DISTAMBEN TAHUN 2012,3362033032014011,Kalimantan Tengah,KAB. KAPUAS,2012-07-05,2027-07-05,OPERASI PRODUKSI,1500.0,CNC-7,-,KAB. KAPUAS,Coal,"[[[12706599.678071696, -109997.48039481229], [12705233.676600177, -109997.48039481229], [12705054.563539488, -109994.00671019667], [12705054.563539488, -105792.65328200418], [12709053.382287769, -105792.65328200418], [12709053.382287769, -104624.64161737313], [12709309.19447761, -104624.64161737313], [12710895.497221408, -104624.64161737313], [12710932.56661185, -104624.64161737313], [12711076.057435475, -104624.64161737313], [12711076.057435475, -104920.23474240415], [12711076.057435475, -105989.04792695763], [12711009.822338456, -105989.59224309733], [12709769.81226661, -105990.02767373511], [12709769.81226661, -106982.86872256703], [12708536.325516926, -106982.86872256703], [12708536.325516926, -107799.29026204406], [12707540.550407885, -107799.29026204406], [12707540.550407885, -108533.54787985074], [12706599.678071696, -108533.54787985074], [12706599.678071696, -109997.48039481229]]]"
MASBRO ALAM STANIA,PT,IUP,188.4/15/ESDM/DPMPTSP/2020,3119032112015079,Bangka Belitung,KAB. BANGKA SELATAN,2020-02-14,2028-02-14,OPERASI PRODUKSI,192.0,CNC-14,-,KAB. BANGKA SELATAN,Tin,"[[[11824974.753726514, -312159.2631571935], [11826415.722641192, -312159.2631571935], [11826415.722641192, -313490.51217510464], [11824974.753726514, -313490.51217510464], [11824974.753726514, -312159.2631571935]]]"
MASEMPO DALLE,PT,IUP,326 TAHUN 2011,3474092122014066,Sulawesi Tenggara,KAB. KONAWE UTARA,2011-08-23,2031-08-23,OPERASI PRODUKSI,201.3,CNC-14,-,KAB. KONAWE UTARA,Nickel,"[[[13608473.791005308, -374961.06246600917], [13608473.791005308, -373956.88996621873], [13608474.026334716, -373956.80321075115], [13608840.254769, -373957.79443098436], [13608840.254769, -373111.26909855905], [13609735.411863865, -373111.26909855905], [13609735.411863865, -374960.49252863176], [13609735.563369695, -374961.06246600917], [13608473.791005308, -374961.06246600917]]]"
MASEMPO DALLE,PT,IUP,327 TAHUN 2011,3474092122014041,Sulawesi Tenggara,KAB. KONAWE UTARA,2011-08-23,2031-08-23,OPERASI PRODUKSI,103.2,CNC-14,-,KAB. KONAWE UTARA,Nickel,"[[[13610015.899911271, -376289.0659433975], [13610015.899911271, -378708.59661391604], [13610015.899911271, -378812.6408848963], [13609613.257313078, -378812.6408848963], [13609613.257313078, -378708.59661391604], [13609613.257313078, -377106.23832371604], [13609777.119603517, -377106.23832371604], [13609777.119603517, -376928.3734491379], [13609870.85061477, -376928.3734491379], [13609870.85061477, -376567.84949482785], [13609796.043916956, -376567.84949482785], [13609796.043916956, -376248.809657915], [13609894.33902733, -376248.809657915], [13609894.33902733, -375905.2379245691], [13610390.378678305, -375905.2379245691], [13610390.378678305, -376289.0659433975], [13610015.899911271, -376289.0659433975]]]"
MASINDO INTIENERGY PERKASA,PT,IUP,503/1886/IUP-OP/DPMPTSP/XI/2018,3364023032014416,Kalimantan Timur,KOTA SAMARINDA,2018-11-05,2028-11-04,OPERASI PRODUKSI,685.5,CNC-1,-,KOTA SAMARINDA,Coal,"[[[13009661.537101345, -40353.58462993101], [13009661.537101345, -38498.18722368302], [13009394.03636496, -38498.18722368302], [13009394.03636496, -37483.93734981771], [13013990.640778797, -37483.93734981771], [13013990.640778797, -38498.18722368302], [13011393.111780629, -38498.18722368302], [13011393.111780629, -39425.94117058206], [13010310.863691134, -39425.94117058206], [13010310.863691134, -40353.58462993101], [13009661.537101345, -40353.58462993101]]]"
MASLAPITA,PT,IUP,626 TAHUN 2009,3362133032014071,Kalimantan Tengah,KAB. BARITO TIMUR,2009-12-31,2027-09-17,OPERASI PRODUKSI,1001.0,CNC-7,-,KAB. BARITO TIMUR,Coal,"[[[12846516.589452319, -217083.18097470817], [12846426.977262227, -217083.9606625263], [12846114.614771053, -217083.9606625263], [12846114.614771053, -218290.6985348427], [12845712.6400898, -218290.6985348427], [12845712.6400898, -219187.9044037527], [12845217.936272714, -219187.9044037527], [12845217.936272714, -219899.54600831112], [12844506.716046045, -219899.54600831112], [12844506.716046045, -220611.19034932443], [12843950.11859208, -220611.19034932443], [12843950.11859208, -221508.40746792368], [12843393.521138115, -221508.40746792368], [12843393.521138115, -222220.05802811534], [12842326.635138348, -222220.05802811534], [12842326.635138348, -219280.68832415584], [12844413.875590717, -219280.68832415584], [12844413.875590717, -218754.7277463276], [12844661.338818748, -218754.7277463276], [12844661.338818748, -216217.61810693296], [12844785.014773022, -216217.61810693296], [12846516.589452319, -216217.61810693296], [12846516.589452319, -217083.18097470817]]]"
MASMINDO DWI AREA,PT,KK,171.K/30/DJB/2018,1400002062014133,Sulawesi Selatan,KAB. LUWU,2018-01-16,2050-06-19,OPERASI PRODUKSI,14390.0,,GEN VII,KAB. LUWU,Gold,"[[[13377174.153035056, -375052.83680763195], [13377174.153035056, -375861.85942228313], [13376196.433947418, -375861.85942228313], [13376196.433947418, -377242.17412125843], [13375794.013988193, -377242.17412125843], [13375794.013988193, -377992.1101270469], [13375506.030465517, -377992.1101270469], [13375120.308429917, -377992.1101270469], [13375120.308429917, -380494.98271729867], [13374936.631270103, -380494.98271729867], [13374936.631270103, -381356.0138385644], [13374773.659535589, -381356.0138385644], [13374773.659535589, -381959.21928523463], [13373298.119685113, -381959.21928523463], [13373298.119685113, -381959.33080439613], [13373297.563087663, -381959.33080439613], [13373297.563087663, -380805.89433382615], [13372545.265968882, -380805.89433382615], [13372545.265968882, -380286.2219091252], [13371838.498521836, -380286.2219091252], [13371838.498521836, -378764.01996974094], [13370270.45217452, -378764.01996974094], [13370270.45217452, -377336.9612839931], [13369290.840655543, -377336.9612839931], [13369290.840655543, -376290.2925894475], [13370017.311652463, -376290.2925894475], [13370017.311652463, -374000.72612920805], [13367973.597120984, -374000.72612920805], [13367973.597120984, -372915.0611558779], [13367442.825788882, -372915.0611558779], [13367442.825788882, -368107.643800506], [13367190.353183767, -368107.643800506], [13367190.353183767, -367374.3897468052], [13366864.298395233, -367374.3897468052], [13366864.298395233, -366423.2629873813], [13366155.415877854, -366423.2629873813], [13366155.415877854, -365907.33866621746], [13365777.040928656, -365907.33866621746], [13365777.040928656, -364873.8246696968], [13364907.19042759, -364873.8246696968], [13364907.19042759, -364085.62197185255], [13364553.973683309, -364085.62197185255], [13364553.973683309, -363433.343560701], [13364037.339926537, -363433.343560701], [13364037.339926537, -362672.2453799251], [13363656.961226497, -362672.2453799251], [13363656.961226497, -361982.5115784618], [13370484.7421943, -361982.5115784618], [13370484.7421943, -367557.5913007713], [13376050.716733959, -367557.5913007713], [13376050.716733959, -371274.4295331594], [13377636.128921844, -371274.4295331594], [13377636.128921844, -375052.83680763195], [13377174.153035056, -375052.83680763195]], [[13382235.071044981, -367557.5913007713], [13378524.458458371, -367557.5913007713], [13378523.233943976, -362911.1890666706], [13382238.855907671, -362911.1890666706], [13382235.071044981, -367557.5913007713]]]"
MASTER LONG MINING RESOURCES,PT,IUP,540.10/21/DPMPTSP/2017,3753104132016087,Nusa Tenggara Timur,KAB. MANGGARAI,2017-05-03,2032-05-02,OPERASI PRODUKSI,982.4,CNC-25,-,KAB. MANGGARAI,Non-Metallic Mineral,"[[[13393744.677730717, -933919.4986214302], [13393744.677730717, -932731.8565564293], [13393157.158171246, -932731.8565564293], [13393157.158171246, -931200.470691925], [13394115.742662922, -931200.470691925], [13398754.054816412, -931200.470691925], [13398754.054816412, -931950.5305034182], [13397084.262454513, -931950.5305034182], [13397084.262454513, -933169.405193611], [13395507.236297846, -933169.405193611], [13395507.236297846, -933919.4986214302], [13393744.677730717, -933919.4986214302]]]"
MATAIWOI JAYA MAKMUR,PT,IUP,91201120913740004,2474095442019159,Sulawesi Tenggara,KAB. KONAWE UTARA,2024-12-16,2029-12-15,OPERASI PRODUKSI,100.04,CNC,-,KAB. KONAWE UTARA,Limestone,"[[[13627054.86938066, -420402.19057471666], [13626999.209635267, -420402.19057471666], [13626999.209635267, -420423.88302073715], [13626758.01736811, -420423.88302073715], [13626758.01736811, -420402.19057471666], [13626693.081035584, -420402.19057471666], [13626693.081035584, -420361.90442516573], [13626643.605644504, -420361.90442516573], [13626643.605644504, -420330.9152538044], [13626473.534175502, -420330.9152538044], [13626473.534175502, -420309.2227170315], [13626436.427715668, -420309.2227170315], [13626436.427715668, -420290.62924544094], [13626393.136790216, -420290.62924544094], [13626393.136790216, -420265.83776960656], [13626352.938097581, -420265.83776960656], [13626352.938097581, -420241.04641167173], [13626300.370584989, -420241.04641167173], [13626300.370584989, -420213.1561136837], [13626223.065321214, -420213.1561136837], [13626223.065321214, -420188.364769221], [13626080.823836224, -420188.364769221], [13626080.823836224, -420609.8189337663], [13626136.483581617, -420609.8189337663], [13626136.483581617, -421180.0245003313], [13625224.282136891, -421180.0245003313], [13625224.282136891, -420963.09800698434], [13625323.232807737, -420963.09800698434], [13625323.232807737, -420687.2922711255], [13625524.22638226, -420687.2922711255], [13625524.22638226, -420231.7496819685], [13625852.000389012, -420231.7496819685], [13625852.000389012, -420030.31990203983], [13627054.86938066, -420030.31990203983], [13627054.86938066, -420402.19057471666]]]"
MATTAPPA,CV,IUP,19052200493620003,247308547202083,Sulawesi Selatan,KAB. WAJO,2024-09-30,2029-09-30,OPERASI PRODUKSI,6.55,CNC,-,KAB. WAJO,"Sand, Stone, Gravel",[]
MATTIRO DECENG LUTIM,CV,IUP,12670007205640008,2473245332023003,Sulawesi Selatan,KAB. LUWU TIMUR,2025-01-24,2030-01-24,OPERASI PRODUKSI,17.03,CNC,-,KAB. LUWU TIMUR,"Sand, Stone, Gravel","[[[13495773.969473023, -292363.89195252984], [13496321.661367726, -292363.89195252984], [13496321.661367726, -292419.8268269877], [13496349.460293608, -292419.8268269877], [13496349.460293608, -292457.096214305], [13496421.75606899, -292457.096214305], [13496421.75606899, -292480.9312656145], [13496413.005132493, -292480.9312656145], [13496413.005132493, -292493.34396117344], [13496402.61535046, -292493.34396117344], [13496402.61535046, -292508.7904071925], [13496382.361437025, -292508.7904071925], [13496382.361437025, -292538.661542172], [13496339.719838157, -292538.661542172], [13496339.719838157, -292601.7470423255], [13496307.468132654, -292601.7470423255], [13496307.468132654, -292643.5667724715], [13496051.80433169, -292643.5667724715], [13496051.80433169, -292663.53255052085], [13495986.960728297, -292663.53255052085], [13495986.960728297, -292685.38651518564], [13495773.969473023, -292685.38651518564], [13495773.969473023, -292363.89195252984]]]"
MAXIMA TIGA BERKAT,PT,IUP,611/1/IUP/PMDN/2021,3472715362014006,Sulawesi Tengah,KAB. DONGGALA,2021-06-21,2026-05-04,OPERASI PRODUKSI,15.6,CNC,-,KAB. DONGGALA,"Sand, Stone, Gravel","[[[13335418.212038489, -90578.45741511152], [13335418.212038489, -90608.76408641864], [13335440.785182195, -90608.76408641864], [13335440.785182195, -90632.26722749298], [13335472.944158569, -90632.26722749298], [13335472.944158569, -90666.59416670809], [13335484.385241881, -90666.59416670809], [13335484.385241881, -90680.51050921212], [13335496.754173143, -90680.51050921212], [13335496.754173143, -90694.11768665923], [13335506.649140032, -90694.11768665923], [13335506.649140032, -90705.55992679512], [13335517.781089121, -90705.55992679512], [13335517.781089121, -90718.23927452975], [13335528.294658422, -90718.23927452975], [13335528.294658422, -90728.75390744237], [13335541.281969462, -90728.75390744237], [13335541.281969462, -90743.90724791803], [13335558.289027298, -90743.90724791803], [13335558.289027298, -90763.08085404069], [13335575.914687557, -90763.08085404069], [13335575.914687557, -90782.56373785064], [13335593.230990948, -90782.56373785064], [13335593.230990948, -90802.04662251213], [13335617.968630837, -90802.04662251213], [13335617.968630837, -90830.49787016377], [13335665.588659959, -90830.49787016377], [13335665.588659959, -90866.06182093828], [13335653.529085567, -90866.06182093828], [13335653.529085567, -90912.14041174637], [13335643.324761804, -90912.14041174637], [13335643.324761804, -90944.30265618174], [13335631.574432954, -90944.30265618174], [13335631.574432954, -90993.78296822995], [13335597.869340172, -90993.78296822995], [13335597.869340172, -91029.34704331381], [13335527.676167332, -91029.34704331381], [13335527.676167332, -91074.18865398633], [13335438.929820245, -91074.18865398633], [13335438.929820245, -91028.419212187], [13335437.383703839, -91028.419212187], [13335437.383703839, -91025.32677578606], [13335436.14683297, -91025.32677578606], [13335436.14683297, -91022.2342280722], [13335435.219207656, -91022.2342280722], [13335435.219207656, -91018.83240334378], [13335433.982336802, -91018.83240334378], [13335433.982336802, -91012.95669638536], [13335432.126974842, -91012.95669638536], [13335432.126974842, -91008.93631767746], [13335430.890103985, -91008.93631767746], [13335430.890103985, -91003.06061084829], [13335428.725496486, -91003.06061084829], [13335428.725496486, -90996.87551574888], [13335426.870245842, -90996.87551574888], [13335426.870245842, -90988.8349813083], [13335412.64606395, -90988.8349813083], [13335412.64606395, -90990.3812550477], [13335389.454540484, -90990.3812550477], [13335389.454540484, -90993.78296822995], [13335346.16361502, -90993.78296822995], [13335346.16361502, -90999.65878626576], [13335333.176303994, -90999.65878626576], [13335333.176303994, -91008.31787494961], [13335315.24150951, -91008.31787494961], [13335315.24150951, -91014.19369317629], [13335302.872689568, -91014.19369317629], [13335302.872689568, -91017.90468357423], [13335278.444183912, -91017.90468357423], [13335278.444183912, -91015.73996700253], [13335268.239971472, -91015.73996700253], [13335268.239971472, -91009.55487172797], [13335264.220113339, -91009.55487172797], [13335264.220113339, -91000.8957830197], [13335258.34489325, -91000.8957830197], [13335258.34489325, -90989.76270102356], [13335246.59445308, -90989.76270102356], [13335246.59445308, -90982.64988640531], [13335234.844124228, -90982.64988640531], [13335234.844124228, -90961.31155457845], [13335231.442645872, -90961.31155457845], [13335231.442645872, -90948.01364599337], [13335226.804407967, -90948.01364599337], [13335226.804407967, -90939.35455847795], [13335222.784438519, -90939.35455847795], [13335222.784438519, -90928.22147800756], [13335217.836955061, -90928.22147800756], [13335217.836955061, -90915.85140129772], [13335212.270980522, -90915.85140129772], [13335212.270980522, -90905.95531790348], [13335207.941876851, -90905.95531790348], [13335207.941876851, -90895.13151521893], [13335202.375902312, -90895.13151521893], [13335202.375902312, -90886.47242872651], [13335195.263811367, -90886.47242872651], [13335195.263811367, -90878.43189627153], [13335188.770211501, -90878.43189627153], [13335188.770211501, -90871.62836036249], [13335183.204236962, -90871.62836036249], [13335183.204236962, -90859.87683906143], [13335178.875133295, -90859.87683906143], [13335178.875133295, -90847.19748731746], [13335174.855275162, -90847.19748731746], [13335174.855275162, -90838.53840175272], [13335172.072287887, -90838.53840175272], [13335172.072287887, -90826.16832752166], [13335168.670809532, -90826.16832752166], [13335168.670809532, -90812.87042295201], [13335165.578688033, -90812.87042295201], [13335165.578688033, -90794.31536845106], [13335160.94033881, -90794.31536845106], [13335160.94033881, -90774.83248413171], [13335188.770211501, -90774.83248413171], [13335188.770211501, -90778.85274940985], [13335212.270980522, -90778.85274940985], [13335212.270980522, -90681.43833961194], [13335213.198605837, -90681.43833961194], [13335213.198605837, -90680.20134373984], [13335214.126342483, -90680.20134373984], [13335214.126342483, -90678.9643478721], [13335215.053967798, -90678.9643478721], [13335215.053967798, -90677.72724067271], [13335216.290838651, -90677.72724067271], [13335216.290838651, -90676.49024481073], [13335216.909329746, -90676.49024481073], [13335216.909329746, -90675.2532489538], [13335218.146200614, -90675.2532489538], [13335218.146200614, -90674.01625309902], [13335219.38307147, -90674.01625309902], [13335219.38307147, -90672.46998045176], [13335220.619942337, -90672.46998045176], [13335220.619942337, -90670.9237078102], [13335221.856813205, -90670.9237078102], [13335221.856813205, -90669.06826970946], [13335223.093684059, -90669.06826970946], [13335223.093684059, -90667.52199707952], [13335224.639800465, -90667.52199707952], [13335224.639800465, -90665.66644766874], [13335225.876671333, -90665.66644766874], [13335225.876671333, -90664.42945184172], [13335227.42278774, -90664.42945184172], [13335227.42278774, -90662.57390243857], [13335228.96890415, -90662.57390243857], [13335228.96890415, -90660.40918758346], [13335230.824266097, -90660.40918758346], [13335230.824266097, -90658.2443614171], [13335233.298007822, -90658.2443614171], [13335233.298007822, -90654.842650782], [13335235.462504001, -90654.842650782], [13335235.462504001, -90652.36865918993], [13335238.245491266, -90652.36865918993], [13335238.245491266, -90649.2761140516], [13335241.646969633, -90649.2761140516], [13335241.646969633, -90645.56512670715], [13335245.976073304, -90645.56512670715], [13335245.976073304, -90639.99859008966], [13335249.995931435, -90639.99859008966], [13335249.995931435, -90634.74121898116], [13335255.252660433, -90634.74121898116], [13335255.252660433, -90628.24696352976], [13335262.36475138, -90628.24696352976], [13335262.36475138, -90620.82487789747], [13335268.239971472, -90620.82487789747], [13335268.239971472, -90611.23807777627], [13335274.733571323, -90611.23807777627], [13335274.733571323, -90578.45741511152], [13335418.212038489, -90578.45741511152]]]"
MBH MINERA RESOURCE,PT,IUP,756/KPTS/DESDM/2017,3116093032014001,Sumatera Selatan,KAB. OGAN KOMERING ULU SELATAN,2017-12-06,2026-07-20,OPERASI PRODUKSI,9393.0,CNC-24,-,KAB. OGAN KOMERING ULU SELATAN,Coal,"[[[11568446.049747186, -518173.2045258683], [11568446.049747186, -509298.9364708857], [11579123.481345607, -509298.9364708857], [11579123.481345607, -518173.2045258683], [11568446.049747186, -518173.2045258683]]]"
MEARES SOPUTAN MINING,PT,KK,323.K/30/DJB/2015,1400002062014121,Sulawesi Utara,KAB. MINAHASA UTARA,2015-02-03,2041-03-05,OPERASI PRODUKSI,8969.0,,GEN IV,"KAB. MINAHASA UTARA, KOTA BITUNG",Gold,"[[[13930638.631252538, 174422.30900015254], [13920434.307489986, 174422.30900015254], [13920434.307489986, 183238.49271241805], [13930638.631252538, 183238.49271241805], [13930638.631252538, 174422.30900015254]]]"
MEGA ALAM MAKMUR,PT,IUP,188.4/109/ESDM/DPMPTSP/2020,2119024242020001,Bangka Belitung,KAB. BELITUNG,2020-12-04,2030-12-04,OPERASI PRODUKSI,24.03,CNC,-,KAB. BELITUNG,Non-Metallic Mineral,"[[[12000426.640036654, -314255.21256137744], [12000826.153332649, -314255.21256137744], [12000826.153332649, -314630.7533778761], [12001030.548274208, -314630.7533778761], [12001030.548274208, -314728.89563831774], [12000870.371883422, -314728.89563831774], [12000870.371883422, -314800.10306054004], [12000426.640036654, -314800.10306054004], [12000426.640036654, -314255.21256137744]]]"
MEGA ALAM SEJAHTERA,PT,IUP,854 Tahun 2014,3364033032014025,Kalimantan Timur,KAB. BERAU,2014-12-08,2026-04-30,OPERASI PRODUKSI,3274.0,CNC-1,-,KAB. BERAU,Coal,"[[[13059705.807854297, 225812.0539744382], [13059705.807854297, 231796.54245494344], [13060472.67546991, 231796.54245494344], [13060472.67546991, 233705.70522727616], [13064201.878411485, 233705.70522727616], [13064201.878411485, 226780.83374553543], [13062989.732832696, 226780.83374553543], [13062989.732832696, 225812.0539744382], [13059705.807854297, 225812.0539744382]]]"
MEGA BATU BRATA,PT,IUP,05072200468720004,2232145122023001,Jawa Barat,KAB. PURWAKARTA,2024-02-19,2027-02-19,EKSPLORASI,18.85,CNC,-,KAB. PURWAKARTA,Non-Metallic Mineral,"[[[11952591.170508696, -739945.7748723864], [11952662.693281526, -739945.7748723864], [11952662.693281526, -739971.768716098], [11952700.851153942, -739971.768716098], [11952700.851153942, -739992.8751066808], [11952725.094090005, -739992.8751066808], [11952725.094090005, -740003.7708456448], [11952748.904104574, -740003.7708456448], [11952748.904104574, -740020.2699546916], [11952779.455070905, -740020.2699546916], [11952779.455070905, -740048.5986927939], [11952797.451759022, -740048.5986927939], [11952797.451759022, -740070.2966166567], [11952820.488659726, -740070.2966166567], [11952820.488659726, -740100.6799554597], [11952849.98832479, -740100.6799554597], [11952849.98832479, -740118.2374806949], [11952918.666328035, -740118.2374806949], [11952918.666328035, -740190.398042347], [11952965.35862053, -740190.398042347], [11952965.35862053, -740202.1653884802], [11952979.273556883, -740202.1653884802], [11952979.273556883, -740221.6842832841], [11953020.05979379, -740221.6842832841], [11953020.05979379, -740240.3626595828], [11953053.146395486, -740240.3626595828], [11953053.146395486, -740255.9279593156], [11953073.369473418, -740255.9279593156], [11953073.369473418, -740274.3572153253], [11953150.829248657, -740274.3572153253], [11953150.829248657, -740285.5642286311], [11953215.147201406, -740285.5642286311], [11953215.147201406, -740367.1886734668], [11953082.955306092, -740367.1886734668], [11953082.955306092, -740426.2124390606], [11952889.444961699, -740426.2124390606], [11952889.444961699, -740508.1795796456], [11952710.931801755, -740508.1795796456], [11952710.931801755, -740471.3831167732], [11952578.43066089, -740471.3831167732], [11952578.43066089, -740313.1147753174], [11952667.857281389, -740313.1147753174], [11952667.857281389, -740243.5067849972], [11952591.170508696, -740243.5067849972], [11952591.170508696, -739945.7748723864]]]"
MEGA BATU MATTIROWALIE,CV,IUP,02022300255860001,2473125332023073,Sulawesi Selatan,KAB. SOPPENG,2023-09-12,2026-09-12,EKSPLORASI,13.71,CNC,-,KAB. SOPPENG,"Sand, Stone, Gravel","[[[13346686.2182485, -491090.8430817739], [13346686.2182485, -490684.87364135275], [13347031.6179155, -490684.87364135275], [13347031.6179155, -490762.4077112875], [13347089.442157079, -490762.4077112875], [13347089.442157079, -490930.1918186314], [13347116.653650006, -490930.1918186314], [13347116.653650006, -490979.8137437737], [13347009.972508438, -490979.8137437737], [13347009.972508438, -490998.422029172], [13346959.878737582, -490998.422029172], [13346959.878737582, -491030.6763483155], [13346797.228493748, -491030.6763483155], [13346797.228493748, -491090.8430817739], [13346686.2182485, -491090.8430817739]]]"
