,longitude,latitude,id,potential,commodity,group,location,city,province,object_name,total_reserve,total_resource,unit,year_measured
41,128.693,-3.578,NVRWeUdVM2diY3QxVHBiZTRUQnFadz09,Mineral Logam,Tembaga,Logam Dasar,Haruku,Maluku Tengah,Maluku,Tembaga Haruku,0.0,8168000.0,Ton,2022
42,136.204,-3.788,enMvK2pRMHZ6UGdMcVd1ZDRtS0p2QT09,Mineral Logam,Tembaga,Logam Dasar,Komopa,Paniai,Papua,Tembaga Komopa,122633000.0,0.0,Ton,2022
43,137.112033,-4.054541,eXRkYm1YRVlnNU9qVWtHM0Y5alpTUT09,Mineral Logam,Tembaga,Logam Dasar,Grasberg open pit,Puncak Jaya,Papua,Tembaga Grasberg open pit,0.0,0.0,Ton,2022
44,137.119,-4.05199,TEpTaTh6SzFOVWlQTDJGWktPRmVsdz09,Mineral Logam,Tembaga,Logam Dasar,Grasberg Stockpile,Puncak Jaya,Papua,Tembaga Grasberg Stockpile,0.0,0.0,Ton,2022
45,137.116906,-4.063564,dDUzWTlQZHptaEdFSVBwMUlDT01HZz09,Mineral Logam,Tembaga,Logam Dasar,Grasberg block cave 2800,Puncak Jaya,Papua,Tembaga Grasberg block cave 2800,751745064.264,874000000.0,Ton,2022
46,137.118,-4.058,ekRkQW5GTktQdnVHK1JUV3psazNEZz09,Mineral Logam,Tembaga,Logam Dasar,Grasberg block cave deep,Puncak Jaya,Papua,Tembaga Grasberg block cave deep,0.0,0.0,Ton,2022
47,137.111919,-4.066039,cG9jVFZwSXJyYmZpcUdJQjdqUVV6QT09,Mineral Logam,Tembaga,Logam Dasar,Kucing Liar,Puncak Jaya,Papua,Tembaga Kucing Liar,997468019.973,351000000.0,Ton,2022
48,123.239,0.411,eDVJQjhBWDFVa05uWU9SRWg0QUIxUT09,Mineral Logam,Tembaga,Logam Dasar,Cabang Kiri (Tombulilato),Bone Bolango,Gorontalo,Tembaga Cabang Kiri (Tombulilato),150950000.0,0.0,Ton,2022
49,137.113981,-4.08101,MXFBbmhIckZpK1BVWlpXRzRjS2txUT09,Mineral Logam,Tembaga,Logam Dasar,Big Gossan,Puncak Jaya,Papua,Tembaga Big Gossan,16188685.2739,53000000.0,Ton,2022
50,137.134,-4.078,dENJSkh4RjR0d3RmSkpXVFBiSCtudz09,Mineral Logam,Tembaga,Logam Dasar,Ertsberg Stockwork Zone,Puncak Jaya,Papua,Tembaga Ertsberg Stockwork Zone,13753006.0,0.0,Ton,2022
