,longitude,latitude,id,potential,commodity,group,location,city,province,object_name,total_reserve,total_resource,unit,year_measured
48,128.079,0.564,TU1Nd2NhYm8wc3AxSjRYaFRNMEpnZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Pintu,Halmahera Tengah,Maluku Utara,Nikel Pintu,72920000.0,0.0,Ton,2022
49,127.932,0.516,K1RqQ21CbHpHRXQxeW1Zb3BOek1PQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Tarsan Barat,Halmahera Tengah,Maluku Utara,Nikel Tarsan Barat,0.0,3363000.0,Ton,2022
50,127.949,0.519,dmdIRCtxektVVC8yVWxWaEJ4VTRMZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Tarsan Timur,Halmahera Tengah,Maluku Utara,Nikel Tarsan Timur,0.0,3126000.0,Ton,2022
51,127.939,0.49,SGltU25rWGpHYm1YRzMrSmZHdUQ2UT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Uni-Uni,Halmahera Tengah,Maluku Utara,Nikel Uni-Uni,5910000.0,3830000.0,Ton,2022
52,127.962,0.493,QXJHUlp5YnFRc2E1VzArNGh6Zk9RQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Sake Barat,Halmahera Tengah,Maluku Utara,Nikel Sake Barat,5161630.0,2629000.0,Ton,2022
53,127.973,0.495,N2FUTWpzeVF0QTBGZm1KMDU4RUwxQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Ake Sake,Halmahera Tengah,Maluku Utara,Nikel Ake Sake,10538119.0,4740000.0,Ton,2022
54,127.947,0.472,WHRlTUQzbDFyTHd4SGZqc0RLOUFaQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Nuspera,Halmahera Tengah,Maluku Utara,Nikel Nuspera,2095703.0,1035000.0,Ton,2022
55,129.392,-0.068,WVQ1N2h1ZXNpQVk2YTlBbklsTmpEQT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Pulau Gebe,Halmahera Tengah,Maluku Utara,Nikel Pulau Gebe,102516000.0,73087518.96,Ton,2022
56,127.601,-1.659,OGh0YjVubzhtSnJXNXNWbGpMNy9jZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Malamala Selatan,Halmahera Selatan,Maluku Utara,Nikel Malamala Selatan,26100000.0,23600000.0,Ton,2022
57,127.412,-1.586,RlN5bUk5d2ZKZTh2TmlSV2cxcWZDZz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Kawasi,Halmahera Selatan,Maluku Utara,Nikel Kawasi,47900000.0,15300000.0,Ton,2022
58,121.102,-3.074,WG1ac2FTL2tKVUcyQlJ0YXE5aHAxUT09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Latou,Kolaka Utara,Sulawesi Tenggara,Nikel Latou,33445189.0,2892978.0,Ton,2022
59,129.878,-0.491,c0tZNjljNGZNaDgxVlpYOWt3dS94Zz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Pulau Gag (Zona Tengah),Raja Ampat,Papua Barat,Nikel Pulau Gag (Zona Tengah),321680000.0,69670000.0,Ton,2022
60,130.117,-0.05,YnpRTXQvTVpJc05MQng0cUlORCtSdz09,Mineral Logam,Nikel,Logam Besi dan Paduan Besi,Kawe,Raja Ampat,Papua Barat,Nikel Kawe,55000000.0,7200000.0,Ton,2022
