,longitude,latitude,mineral_type,mineral_grade,institution,city,province,object_name,hypotherical_resource,inferred_resource,indicated_resource,measured_resource,total_resource,probable_reserve,proven_reserve,total_reserve,units,year_measured
,116.182048,-1.747996,Batubara,Rendah (< 5100),Swasta,Paser,Kalimantan Timur,Batubara Pasir Mayang 3,0,0.33,0.12,1.06,1.51,0.21,0.81,1.02,Juta Ton,2022
,117.82471,3.5104,Batubara,Rendah (< 5100),Swasta,Bulungan,Kalimantan Utara,Batubara Pulau Bunyu,0,0.017,9.546,22.872,32.435,4.062,4.67,8.732,Juta Ton,2022
,103.08043,-1.92752,Batubara,Rendah (< 5100),Swasta,Batang Hari,Jambi,Batubara Terentang Baru,0,148.94,121.96,160.75,431.65,158.91,111.39,270.3,Juta Ton,2022
,115.2757,-2.86511,Batubara,Rendah (< 5100),Swasta,Hulu Sungai Selatan,Kalimantan Selatan,Batubara Malutu,0,29.844831,21.028201,17.855756,68.728788,1.533604,4.368,5.901604,Juta Ton,2022
,117.68223,0.777278,Batubara,Rendah (< 5100),Swasta,Kutai Timur,Kalimantan Timur,Batubara Beruang,0,0.83,7.86,0.59,9.28,0.36,0,0.36,Juta Ton,2022
,115.87585,-1.94227,Batubara,Rendah (< 5100),Swasta,Paser,Kalimantan Timur,Batubara Legai,0,368,825,285.9,1478.9,265.2,131.7,396.9,Juta Ton,2022
,104.12973,-2.41983,Batubara,Rendah (< 5100),Swasta,Banyuasin,Sumatera Selatan,Batubara Keluang 1,0,9.91,22.6,30.69,63.2,9.5,34.76,44.26,Juta Ton,2022
,103.10833,-2.50121,Batubara,Rendah (< 5100),Swasta,Musi Rawas Utara,Sumatera Selatan,Batubara Beringin Makmur II 2,0,19.51,64.34,246.04,329.89,71.12,236.66,307.78,Juta Ton,2022
,103.90771,-2.519973,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Strada,0,0,15.9,0,15.9,0,0,0,Juta Ton,2022
,103.97845,-3.33306,Batubara,Rendah (< 5100),Swasta,Penukal Abab Lematang Ilir,Sumatera Selatan,Batubara Kertadewa,0,713,1070,550,2333,973,332.998,1305.998,Juta Ton,2022
,117.366412,2.061775,Batubara,Rendah (< 5100),Swasta,Berau,Kalimantan Timur,Batubara Sungai Mambung,0,0.58,1.115,1.275,2.97,0.45,0.932,1.382,Juta Ton,2022
,117.768466,2.277654,Batubara,Rendah (< 5100),Swasta,Berau,Kalimantan Timur,Batubara Batu - Batu,0,11.581,12.023,31.769,55.373,10.754,19.995,30.749,Juta Ton,2022
,117.643932,2.101499,Batubara,Rendah (< 5100),Swasta,Berau,Kalimantan Timur,Batubara Sukan Tengah,0,0.553,1.754,9.697,12.004,0,1.871,1.871,Juta Ton,2022
,103.362,-1.946,Batubara,Rendah (< 5100),Swasta,Batang Hari,Jambi,Batubara Sungkai,0,0,1.85,3.06,4.91,0.22,2.17,2.39,Juta Ton,2022
,104.266876,-2.615646,Batubara,Rendah (< 5100),Swasta,Banyuasin,Sumatera Selatan,Batubara Tenggulang Baru,0,38.2,66,93.4,197.6,3.5,31.1,34.6,Juta Ton,2022
,104.300838,-2.461089,Batubara,Rendah (< 5100),Swasta,Banyuasin,Sumatera Selatan,Batubara Mekar Sari,0,130.43,120.68,97.05,348.16,65.25,162.69,227.94,Juta Ton,2022
,96.218911,4.248202,Batubara,Rendah (< 5100),Swasta,Aceh Barat,Aceh,Batubara Reudeup,0,144.413,148.843,86.489,379.745,82.001,71.879,153.88,Juta Ton,2022
,96.280832,4.230774,Batubara,Rendah (< 5100),Swasta,Nagan Raya,Aceh,Batubara Sumber Batu,0,8.4,15.7,31.263,55.363,12.38,22.683,35.063,Juta Ton,2022
,102.005274,-0.58779,Batubara,Rendah (< 5100),Swasta,Indragiri Hulu,Riau,Batubara Semelinang Tebing/Laut,0,61,362,211,634,127.5,167.3,294.8,Juta Ton,2022
,101.814525,-0.55556,Batubara,Rendah (< 5100),Swasta,Kuantan Singingi,Riau,Batubara Sikakak,0,7.98,37.39,19.43,64.8,39.8,0,39.8,Juta Ton,2022
,102.770261,-1.539177,Batubara,Rendah (< 5100),Swasta,Tebo,Jambi,Batubara Tebo Ilir,0,0,1.078,0.708,1.786,0,0,0,Juta Ton,2022
,102.585579,-1.411449,Batubara,Rendah (< 5100),Swasta,Tebo,Jambi,Batubara Mengupeh 1,0,31.833,29.987,83.427,145.247,4.019,40.186,44.205,Juta Ton,2022
,102.888472,-2.040454,Batubara,Rendah (< 5100),Swasta,Sarolangun,Jambi,Batubara Pemusiran,0,4.751448,9.964597,33.773927,48.489972,28.033381,0,28.033381,Juta Ton,2022
,103.478554,-1.811693,Batubara,Rendah (< 5100),Swasta,Muaro Jambi,Jambi,Batubara Tanjung Pauh,0,0,9.621,5.657,15.278,2.698,1.48,4.178,Juta Ton,2022
,102.882333,-1.745567,Batubara,Rendah (< 5100),Swasta,Batang Hari,Jambi,Batubara Sungai Ruan Dua,0,0,0,2.99,2.99,0,2.27,2.27,Juta Ton,2022
,102.02189,-3.393684,Batubara,Rendah (< 5100),Swasta,Bengkulu Utara,Bengkulu,"Batubara East Blok, West Pit",0,24.82,18.202,9.736,52.758,16,7.919,23.919,Juta Ton,2022
,103.908266,-3.994381,Batubara,Rendah (< 5100),Swasta,Ogan Komering Ulu,Sumatera Selatan,Batubara Tanjung Sari,0,23,43.4,31.6,98,7.427,0.419,7.846,Juta Ton,2022
,104.106795,-4.24027,Batubara,Rendah (< 5100),Swasta,Ogan Komering Ulu,Sumatera Selatan,Batubara Kungkilan 2,0,0,0,16.443062,16.443062,0,0,0,Juta Ton,2022
,104.125612,-3.952049,Batubara,Rendah (< 5100),Swasta,Ogan Komering Ulu,Sumatera Selatan,Batubara Merbau,0,389,188.9,265.6,843.5,25.6,131,156.6,Juta Ton,2022
,104.013171,-2.443557,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Bumi Kencana,0,120.363,77.649,57.489,255.501,31.448,9.79,41.238,Juta Ton,2022
,104.195265,-4.12347,Batubara,Rendah (< 5100),Swasta,Ogan Komering Ulu,Sumatera Selatan,Batubara Laya,0,4.733826,10.42516,19.351503,34.510489,14.481217,4.949,19.430217,Juta Ton,2022
,103.728822,-3.676345,Batubara,Rendah (< 5100),Swasta,Lahat,Sumatera Selatan,Batubara Sirah Pulau,0,23.1,56.2,7.8,87.1,41.5,2.1,43.6,Juta Ton,2022
,103.668402,-2.119344,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Pangkalan Bayat,0,8.400657,6.462802,4.970802,19.834261,0,4.5,4.5,Juta Ton,2022
,103.737651,-3.807374,Batubara,Rendah (< 5100),Swasta,Muara Enim,Sumatera Selatan,Batubara Bukit Kendi 1,0,0.22,0.41,2.11,2.74,0.24,0.67,0.91,Juta Ton,2022
,103.763801,-2.689793,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Pinggap,0,236.4,0,0,236.4,0,0,0,Juta Ton,2022
,103.681171,-3.024701,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Kerta Jaya,0,22.599925,0,0,22.599925,8.01,0,8.01,Juta Ton,2022
,103.558045,-3.718416,Batubara,Rendah (< 5100),Swasta,Lahat,Sumatera Selatan,Batubara Senabing 1,0,1.1,1.55,5.01,7.66,0.486,3.014,3.5,Juta Ton,2022
,103.831029,-2.161543,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Sindang Marga,0,15.247228,9.089458,0,24.336686,5.807816,0,5.807816,Juta Ton,2022
,103.185369,-2.963985,Batubara,Rendah (< 5100),Swasta,Musi Rawas,Sumatera Selatan,Batubara Lubuk Tua 1,0,31.369,103.896,148.961,284.226,44.525,81.162,125.687,Juta Ton,2022
,104.08457,-2.827559,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Lais 2,0,7.9,16.5,16.2,40.6,4.6,9,13.6,Juta Ton,2022
,103.744953,-3.07,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Tebing Bulang,0,12.7413,16.9884,18.876,48.6057,0,10.1,10.1,Juta Ton,2022
,104.130784,-3.397753,Batubara,Rendah (< 5100),Swasta,Muara Enim,Sumatera Selatan,Batubara Gunung Raja,0,19,29.4,20.6,69,5.9,9.72,15.62,Juta Ton,2022
,103.811613,-2.230288,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Srimulyo 1,0,160,31,25,216,14.7,19.6,34.3,Juta Ton,2022
,104.170494,-3.429321,Batubara,Rendah (< 5100),Swasta,Kota Prabumulih,Sumatera Selatan,Batubara Gunung Kemala,0,0,8.6,46.75,55.35,36.3,0,36.3,Juta Ton,2022
,103.665977,-2.234544,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Sinarharapan,0,6.091918,6.091918,6.171957,18.355793,7.342,0,7.342,Juta Ton,2022
,103.902328,-3.218365,Batubara,Rendah (< 5100),Swasta,Penukal Abab Lematang Ilir,Sumatera Selatan,Batubara Tambak,0,157.3,484.9,57.6,699.8,112.1,34.28,146.38,Juta Ton,2022
,104.158718,-2.256855,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Muara Merang 1,0,7.84,26.53,23.52,57.89,7.12,8.97,16.09,Juta Ton,2022
,103.746283,-2.638213,Batubara,Rendah (< 5100),Swasta,Musi Banyuasin,Sumatera Selatan,Batubara Tanjungbali,0,38.573834,28.498732,19.700556,86.773122,37.393,11.317,48.71,Juta Ton,2022
,105.364334,-3.915644,Batubara,Rendah (< 5100),Swasta,Mesuji,Lampung,Batubara Bangun Jaya,0,149.6,134.2,29.6,313.4,109.8,0,109.8,Juta Ton,2022
,114.275077,-1.153369,Batubara,Rendah (< 5100),Swasta,Kapuas,Kalimantan Tengah,Batubara Pit 1 & Pit 2,0,8.8,22,4,34.8,9,1,10,Juta Ton,2022
,115.263743,-2.049242,Batubara,Rendah (< 5100),Swasta,Barito Timur,Kalimantan Tengah,Batubara Matarah,0,5.725,7.3,8.798,21.823,0,1.08,1.08,Juta Ton,2022
,112.882465,-1.188061,Batubara,Rendah (< 5100),Swasta,Katingan,Kalimantan Tengah,Batubara Tumbang Paku,0,38.9,42.4,7.3,88.6,29.1,0,29.1,Juta Ton,2022
,114.310927,-1.139895,Batubara,Rendah (< 5100),Swasta,Kapuas,Kalimantan Tengah,Batubara Karukus,0,10.6,45,7.8,63.4,34.9,6.6,41.5,Juta Ton,2022
